ori,des,path,len,primary,secondary,tertiary,residential,unclassified
15,258,15_34_33_31_358_40_50_19_24_350_311_79_81_117_299_383_274_265_263_260_259_258,22,19,0,1,1,1
15,258,15_34_33_31_358_40_50_20_23_73_21_84_80_118_124_116_276_274_265_263_260_259_258,23,11,10,1,1,0
19,258,19_24_350_311_79_81_117_299_383_274_265_263_260_259_258,15,13,0,1,0,1
19,258,19_24_350_311_79_80_118_124_116_276_274_265_263_260_259_258,16,10,5,1,0,0
19,259,19_24_350_311_79_81_117_299_383_274_265_263_260_259,14,13,0,0,0,1
19,259,19_24_350_311_79_80_118_124_116_276_274_265_263_260_259,15,10,5,0,0,0
21,258,21_84_81_117_299_383_274_265_263_260_259_258,12,8,2,1,0,1
21,258,21_84_80_118_124_116_276_274_265_263_260_259_258,13,5,7,1,0,0
24,258,24_350_311_79_81_117_299_383_274_265_263_260_259_258,14,12,0,1,0,1
24,258,24_350_311_79_80_118_124_116_276_274_265_263_260_259_258,15,9,5,1,0,0
24,373,24_350_311_79_81_117_299_383_273_271_373,11,7,3,0,0,1
24,373,24_350_311_79_80_118_124_116_276_273_271_373,12,4,8,0,0,0
87,404,87_105_112_114_115_117_300_389_388_404,10,5,0,1,4,0
87,404,87_106_267_262_315_303_272_305_404,9,4,0,4,0,1
109,404,109_108_105_112_114_115_117_300_389_388_404,11,5,0,0,6,0
109,404,109_108_106_267_262_315_303_272_305_404,10,4,0,3,2,1
233,258,233_244_34_33_31_358_40_50_19_24_350_311_79_81_117_299_383_274_265_263_260_259_258,23,21,0,1,0,1
233,258,233_244_34_33_31_358_40_50_19_24_350_311_79_80_118_124_116_276_274_265_263_260_259_258,24,18,5,1,0,0
281,258,281_21_84_81_117_299_383_274_265_263_260_259_258,13,8,3,1,0,1
281,258,281_21_84_80_118_124_116_276_274_265_263_260_259_258,14,5,8,1,0,0
281,373,281_21_84_81_117_299_383_273_271_373,10,3,6,0,0,1
281,373,281_21_84_80_118_124_116_276_273_271_373,11,0,11,0,0,0
311,373,311_79_81_117_299_383_273_271_373,9,5,3,0,0,1
311,373,311_79_80_118_124_116_276_273_271_373,10,2,8,0,0,0
331,9,331_52_360_127_409_70_56_9,8,2,2,3,0,1
331,9,331_53_61_63_65_27_70_56_9,9,1,1,6,1,0
346,51,346_170_370_169_375_157_158_177_178_188_189_210_201_233_244_34_33_31_357_35_339_362_354_51,24,24,0,0,0,0
346,51,346_170_370_169_375_157_158_177_178_188_189_210_201_233_244_34_33_31_358_40_49_365_47_44_51,25,21,4,0,0,0
346,258,346_170_370_169_375_157_158_177_178_188_189_210_201_233_244_34_33_31_358_40_50_19_24_350_311_79_81_117_299_383_274_265_263_260_259_258,36,34,0,1,0,1
346,258,346_170_370_169_375_157_158_177_178_188_189_210_201_233_244_34_33_31_358_40_50_20_23_73_21_84_81_117_299_383_274_265_263_260_259_258,36,29,5,1,0,1
350,373,350_311_79_81_117_300_390_383_273_271_373,11,8,3,0,0,0
350,373,350_311_79_81_117_299_383_273_271_373,10,6,3,0,0,1
356,80,356_19_24_350_311_79_80,7,6,1,0,0,0
356,80,356_20_23_73_21_84_80,7,1,6,0,0,0
356,258,356_19_24_350_311_79_81_117_299_383_274_265_263_260_259_258,16,14,0,1,0,1
356,258,356_19_24_350_311_79_80_118_124_116_276_274_265_263_260_259_258,17,11,5,1,0,0
414,221,414_248_411_413_185_221,6,0,5,1,0,0
414,221,414_248_411_413_185_222_212_292_194_182_221,11,0,7,2,2,0
