ori,des,path,len,label
350,373,350_311_79_81_117_299_383_273_271_373,10,secondary
21,258,21_84_80_118_124_116_276_274_265_263_260_259_258,13,secondary
21,258,21_84_81_117_299_383_274_265_263_260_259_258,12,primary
19,258,19_24_350_311_79_80_118_124_116_276_274_265_263_260_259_258,16,secondary
24,258,24_350_311_79_81_117_299_383_274_265_263_260_259_258,14,primary
24,373,24_350_311_79_81_117_299_383_273_271_373,11,primary
24,258,24_350_311_79_80_118_124_116_276_274_265_263_260_259_258,15,secondary
24,373,24_350_311_79_80_118_124_116_276_273_271_373,12,secondary
350,373,350_311_79_81_117_300_390_383_273_271_373,11,primary
24,258,24_350_311_79_81_117_299_383_274_265_263_260_259_258,14,primary
311,373,311_79_81_117_299_383_273_271_373,9,primary
311,373,311_79_80_118_124_116_276_273_271_373,10,secondary
233,258,233_244_34_33_31_358_40_50_19_24_350_311_79_81_117_299_383_274_265_263_260_259_258,23,primary
233,258,233_244_34_33_31_358_40_50_19_24_350_311_79_80_118_124_116_276_274_265_263_260_259_258,24,secondary
109,404,109_108_106_267_262_315_303_272_305_404,10,secondary
356,80,356_19_24_350_311_79_80,7,primary
356,80,356_20_23_73_21_84_80,7,secondary
356,258,356_19_24_350_311_79_81_117_299_383_274_265_263_260_259_258,16,primary
19,259,19_24_350_311_79_81_117_299_383_274_265_263_260_259,14,primary
19,258,19_24_350_311_79_81_117_299_383_274_265_263_260_259_258,15,primary
19,258,19_24_350_311_79_81_117_299_383_274_265_263_260_259_258,15,primary
281,373,281_21_84_81_117_299_383_273_271_373,10,primary
346,51,346_170_370_169_375_157_158_177_178_188_189_210_201_233_244_34_33_31_358_40_49_365_47_44_51,25,secondary
281,258,281_21_84_81_117_299_383_274_265_263_260_259_258,13,primary
281,258,281_21_84_81_117_299_383_274_265_263_260_259_258,13,primary
346,51,346_170_370_169_375_157_158_177_178_188_189_210_201_233_244_34_33_31_358_40_49_365_47_44_51,25,secondary
356,258,356_19_24_350_311_79_80_118_124_116_276_274_265_263_260_259_258,17,secondary
281,258,281_21_84_81_117_299_383_274_265_263_260_259_258,13,primary
356,258,356_19_24_350_311_79_80_118_124_116_276_274_265_263_260_259_258,17,secondary
281,258,281_21_84_80_118_124_116_276_274_265_263_260_259_258,14,secondary
281,258,281_21_84_81_117_299_383_274_265_263_260_259_258,13,primary
19,258,19_24_350_311_79_81_117_299_383_274_265_263_260_259_258,15,primary
15,258,15_34_33_31_358_40_50_20_23_73_21_84_80_118_124_116_276_274_265_263_260_259_258,23,secondary
281,258,281_21_84_81_117_299_383_274_265_263_260_259_258,13,primary
414,221,414_248_411_413_185_222_212_292_194_182_221,11,secondary
346,51,346_170_370_169_375_157_158_177_178_188_189_210_201_233_244_34_33_31_357_35_339_362_354_51,24,primary
346,258,346_170_370_169_375_157_158_177_178_188_189_210_201_233_244_34_33_31_358_40_50_19_24_350_311_79_81_117_299_383_274_265_263_260_259_258,36,primary
346,51,346_170_370_169_375_157_158_177_178_188_189_210_201_233_244_34_33_31_358_40_49_365_47_44_51,25,secondary
87,404,87_105_112_114_115_117_300_389_388_404,10,primary
281,258,281_21_84_81_117_299_383_274_265_263_260_259_258,13,primary
331,9,331_53_61_63_65_27_70_56_9,9,secondary
281,258,281_21_84_81_117_299_383_274_265_263_260_259_258,13,primary
281,373,281_21_84_81_117_299_383_273_271_373,10,primary
346,51,346_170_370_169_375_157_158_177_178_188_189_210_201_233_244_34_33_31_358_40_49_365_47_44_51,25,secondary
281,258,281_21_84_81_117_299_383_274_265_263_260_259_258,13,primary
346,258,346_170_370_169_375_157_158_177_178_188_189_210_201_233_244_34_33_31_358_40_50_20_23_73_21_84_81_117_299_383_274_265_263_260_259_258,36,secondary
281,373,281_21_84_80_118_124_116_276_273_271_373,11,secondary
281,258,281_21_84_81_117_299_383_274_265_263_260_259_258,13,primary
281,258,281_21_84_81_117_299_383_274_265_263_260_259_258,13,primary
281,258,281_21_84_81_117_299_383_274_265_263_260_259_258,13,primary
281,258,281_21_84_81_117_299_383_274_265_263_260_259_258,13,primary
19,259,19_24_350_311_79_80_118_124_116_276_274_265_263_260_259,15,secondary
281,258,281_21_84_81_117_299_383_274_265_263_260_259_258,13,primary
15,258,15_34_33_31_358_40_50_19_24_350_311_79_81_117_299_383_274_265_263_260_259_258,22,primary
331,9,331_52_360_127_409_70_56_9,8,primary
109,404,109_108_105_112_114_115_117_300_389_388_404,11,primary
281,258,281_21_84_81_117_299_383_274_265_263_260_259_258,13,primary
281,258,281_21_84_81_117_299_383_274_265_263_260_259_258,13,primary
281,258,281_21_84_81_117_299_383_274_265_263_260_259_258,13,primary
281,258,281_21_84_81_117_299_383_274_265_263_260_259_258,13,primary
281,373,281_21_84_81_117_299_383_273_271_373,10,primary
281,258,281_21_84_81_117_299_383_274_265_263_260_259_258,13,primary
281,373,281_21_84_80_118_124_116_276_273_271_373,11,secondary
87,404,87_106_267_262_315_303_272_305_404,9,secondary
281,373,281_21_84_80_118_124_116_276_273_271_373,11,secondary
