osmid y x
0 37.9871724 23.726682
1 37.9856434 23.7241204
2 37.9761998 23.7343793
3 37.9863552 23.723325
4 37.9861129 23.7249236
5 37.985959 23.725926
6 37.985398 23.7257836
7 37.9857657 23.7271846
8 37.9852114 23.7270486
9 37.985506 23.7250517
10 37.9885741 23.7291214
11 37.9901558 23.7295195
12 37.9888466 23.72919
13 37.9888007 23.729499
14 37.9865686 23.7257031
15 37.9868837 23.7234789
16 37.9861564 23.7285143
17 37.9855836 23.7283706
18 37.9850366 23.7282335
19 37.9868729 23.7274563
20 37.9874107 23.7275882
21 37.9872252 23.7287824
22 37.9877086 23.7276613
23 37.9879272 23.7277151
24 37.9878876 23.7279778
25 37.9877467 23.7289132
26 37.9880837 23.7266763
27 37.9878886 23.7258952
28 37.9888208 23.7250694
29 37.9865152 23.7260626
30 37.9860722 23.7251889
31 37.9876127 23.7257222
32 37.9872149 23.7254411
33 37.9866543 23.7250632
34 37.9861335 23.7247728
35 37.9873335 23.7247626
36 37.9868185 23.7261306
37 37.9895011 23.7293547
38 37.9870177 23.730119
39 37.9875469 23.7302398
40 37.9895847 23.7308398
41 37.9899376 23.7309302
42 37.9886561 23.7304716
43 37.9899588 23.7307935
44 37.9894893 23.7336336
45 37.9915157 23.7298367
46 37.9913117 23.7311278
47 37.9874088 23.7311561
48 37.9863256 23.7308878
49 37.9861764 23.7317478
50 37.9893935 23.7342533
51 37.9893213 23.7347208
52 37.98925 23.7351829
53 37.9891838 23.7356115
54 37.9891271 23.7359784
55 37.9903727 23.7338542
56 37.990272 23.7344657
57 37.9901927 23.7349494
58 37.9904581 23.733335
59 37.9905432 23.7328175
60 37.9906638 23.7320839
61 37.9908165 23.7311551
62 37.9897925 23.7318686
63 37.990095 23.7327041
64 37.9896795 23.7325989
65 37.9902081 23.7319713
66 37.9895988 23.7331204
67 37.9890808 23.7248781
68 37.9870356 23.7264514
69 37.9877534 23.7248767
70 37.9881734 23.724988
71 37.98874 23.72514
72 37.9880432 23.7257326
73 37.9883597 23.7239184
74 37.9879416 23.7237962
75 37.9887804 23.7240414
76 37.9888911 23.7240737
77 37.9889499 23.7249715
78 37.9828872 23.7264693
79 37.982807 23.727019
80 37.9867215 23.7245984
81 37.9836712 23.7252862
82 37.9763519 23.7334596
83 37.9816631 23.7302053
84 37.9809147 23.7308595
85 37.9800553 23.7315863
86 37.9787013 23.7327189
87 37.9780795 23.733224
88 37.9774996 23.7337272
89 37.9780935 23.7348738
90 37.9786886 23.7343686
91 37.978045 23.7372101
92 37.9785906 23.7382559
93 37.9794738 23.73754
94 37.9789285 23.7364867
95 37.9775113 23.7376587
96 37.9776723 23.7375253
97 37.9765 23.7358438
98 37.9759484 23.7357767
99 37.9777729 23.7381525
100 37.9780568 23.7386883
101 37.9783998 23.7369241
102 37.9776379 23.7390281
103 37.9771792 23.7386739
104 37.9793349 23.73382
105 37.9811089 23.7322913
106 37.9815409 23.734332
107 37.9829088 23.7332314
108 37.9819811 23.7339908
109 37.9829944 23.7346918
110 37.983435 23.7355592
111 37.9814925 23.7319664
112 37.982014 23.7315114
113 37.9824212 23.7323057
114 37.9832887 23.7329218
115 37.9841573 23.7322095
116 37.9847425 23.7317305
117 37.9829031 23.7291536
118 37.9832261 23.7304891
119 37.9847331 23.7332879
120 37.9839436 23.7318096
121 37.9836341 23.7312304
122 37.9826112 23.7293886
123 37.9822249 23.7313355
124 37.977355 23.732875
125 37.9838309 23.7340111
126 37.9853174 23.7328196
127 37.9843011 23.7308945
128 37.9836523 23.7312812
129 37.9827909 23.7319847
130 37.9842915 23.7348571
131 37.9839097 23.7351894
132 37.9834614 23.7343073
133 37.9813997 23.734146
134 37.9793654 23.7321624
135 37.9855988 23.7333508
136 37.9900724 23.7353794
137 37.98517 23.7313805
138 37.985374 23.7297355
139 37.983919 23.7293833
140 37.9859556 23.7298764
141 37.9843255 23.7268306
142 37.9845367 23.7255609
143 37.9846551 23.7248487
144 37.9856175 23.7242961
145 37.9844092 23.7282236
146 37.9863298 23.7273229
147 37.9812841 23.7360784
148 37.9795354 23.7359852
149 37.9789556 23.73796
150 37.9783093 23.7377161
151 37.9786664 23.7374206
152 37.9792015 23.7370139
153 37.9910136 23.7356042
154 37.9910813 23.7351706
155 37.9911588 23.73468
156 37.9912669 23.7340774
157 37.9914268 23.7330412
158 37.9907396 23.7345787
159 37.9908411 23.7339711
160 37.9910137 23.7329366
161 37.9916285 23.7323822
162 37.9915406 23.732304
163 37.9911364 23.7322008
164 37.9920746 23.7313195
165 37.9922744 23.7300269
166 37.9902757 23.7287445
