ori,des,path,len
401,393,401_285_199_207_146_147_149_225_152_153_154_156_165_175_160_168_167_393,18
401,393,401_285_199_207_146_147_149_225_152_153_154_156_165_175_160_168_167_393,18
401,155,401_285_199_207_146_147_149_225_152_153_155,11
401,155,401_285_199_207_146_147_149_225_152_153_155,11
401,155,401_285_199_207_146_147_149_225_152_153_155,11
401,155,401_285_199_207_146_147_149_225_152_153_155,11
285,393,285_199_207_146_147_149_225_152_153_154_156_165_175_160_168_167_393,17
285,155,285_199_207_146_147_149_225_152_153_155,10
232,155,232_199_207_146_147_149_225_152_153_155,10
231,155,231_232_199_207_146_147_149_225_152_153_155,11
285,225,285_199_207_146_147_149_225,7
285,155,285_199_207_146_147_149_225_152_153_155,10
231,155,231_232_199_207_146_147_149_225_152_153_155,11
231,155,231_232_199_207_146_147_149_225_152_153_155,11
232,155,232_199_207_146_147_149_225_152_153_155,10
401,155,401_285_199_207_146_147_149_225_152_153_155,11
401,155,401_285_199_207_146_147_149_225_152_153_155,11
232,155,232_199_207_146_147_149_225_152_153_155,10
232,155,232_199_207_146_147_149_225_152_153_155,10
232,155,232_199_207_146_147_149_225_152_153_155,10
232,155,232_199_207_146_147_149_225_152_153_155,10
232,155,232_199_207_146_147_149_225_152_153_155,10
232,155,232_199_207_146_147_149_225_152_153_155,10
199,155,199_207_146_147_149_225_152_153_155,9
317,404,317_315_303_272_305_404,6
315,89,315_303_272_306_387_398_386_90_89,9
315,89,315_303_272_306_387_398_386_90_89,9
177,51,177_178_188_189_210_201_233_244_34_33_31_358_40_49_365_47_44_51,18
124,373,124_116_276_273_271_373,6
106,258,106_267_263_260_259_258,6
87,258,87_106_267_263_260_259_258,7
87,302,87_106_267_262_315_302,6
108,302,108_106_267_262_315_302,6
363,394,363_359_381_380_37_39_74_394,8
0,74,0_366_363_359_381_380_37_39_74,9
350,373,350_311_79_81_117_299_383_273_271_373,10
21,258,21_84_80_118_124_116_276_274_265_263_260_259_258,13
