ori,des,path,len,primary,secondary,tertiary,residential,unclassified
401,393,401_285_199_207_146_147_149_225_152_153_154_156_165_175_160_168_167_393,18,10,6,2,0,0
401,393,401_285_199_207_146_147_149_225_152_153_154_156_165_175_160_168_167_393,18,10,6,2,0,0
401,155,401_285_199_207_146_147_149_225_152_153_155,11,11,0,0,0,0
401,155,401_285_199_207_146_147_149_225_152_153_155,11,11,0,0,0,0
401,155,401_285_199_207_146_147_149_225_152_153_155,11,11,0,0,0,0
401,155,401_285_199_207_146_147_149_225_152_153_155,11,11,0,0,0,0
285,393,285_199_207_146_147_149_225_152_153_154_156_165_175_160_168_167_393,17,9,6,2,0,0
285,155,285_199_207_146_147_149_225_152_153_155,10,10,0,0,0,0
232,155,232_199_207_146_147_149_225_152_153_155,10,10,0,0,0,0
231,155,231_232_199_207_146_147_149_225_152_153_155,11,11,0,0,0,0
285,225,285_199_207_146_147_149_225,7,7,0,0,0,0
285,155,285_199_207_146_147_149_225_152_153_155,10,10,0,0,0,0
231,155,231_232_199_207_146_147_149_225_152_153_155,11,11,0,0,0,0
231,155,231_232_199_207_146_147_149_225_152_153_155,11,11,0,0,0,0
232,155,232_199_207_146_147_149_225_152_153_155,10,10,0,0,0,0
401,155,401_285_199_207_146_147_149_225_152_153_155,11,11,0,0,0,0
401,155,401_285_199_207_146_147_149_225_152_153_155,11,11,0,0,0,0
232,155,232_199_207_146_147_149_225_152_153_155,10,10,0,0,0,0
232,155,232_199_207_146_147_149_225_152_153_155,10,10,0,0,0,0
232,155,232_199_207_146_147_149_225_152_153_155,10,10,0,0,0,0
232,155,232_199_207_146_147_149_225_152_153_155,10,10,0,0,0,0
232,155,232_199_207_146_147_149_225_152_153_155,10,10,0,0,0,0
232,155,232_199_207_146_147_149_225_152_153_155,10,10,0,0,0,0
199,155,199_207_146_147_149_225_152_153_155,9,9,0,0,0,0
317,404,317_315_303_272_305_404,6,5,0,0,0,1
315,89,315_303_272_306_387_398_386_90_89,9,7,2,0,0,0
315,89,315_303_272_306_387_398_386_90_89,9,7,2,0,0,0
177,51,177_178_188_189_210_201_233_244_34_33_31_358_40_49_365_47_44_51,18,14,4,0,0,0
124,373,124_116_276_273_271_373,6,0,6,0,0,0
106,258,106_267_263_260_259_258,6,3,0,3,0,0
87,258,87_106_267_263_260_259_258,7,3,0,4,0,0
87,302,87_106_267_262_315_302,6,1,0,4,0,1
108,302,108_106_267_262_315_302,6,1,0,3,1,1
363,394,363_359_381_380_37_39_74_394,8,3,0,0,5,0
0,74,0_366_363_359_381_380_37_39_74,9,5,0,0,4,0
350,373,350_311_79_81_117_299_383_273_271_373,10,6,3,0,0,1
21,258,21_84_80_118_124_116_276_274_265_263_260_259_258,13,5,7,1,0,0
21,258,21_84_81_117_299_383_274_265_263_260_259_258,12,8,2,1,0,1
19,258,19_24_350_311_79_80_118_124_116_276_274_265_263_260_259_258,16,10,5,1,0,0
24,258,24_350_311_79_81_117_299_383_274_265_263_260_259_258,14,12,0,1,0,1
24,259,24_350_311_79_81_117_299_383_274_265_263_260_259,13,12,0,0,0,1
24,373,24_350_311_79_81_117_299_383_273_271_373,11,7,3,0,0,1
24,258,24_350_311_79_80_118_124_116_276_274_265_263_260_259_258,15,9,5,1,0,0
24,373,24_350_311_79_80_118_124_116_276_273_271_373,12,4,8,0,0,0
350,373,350_311_79_81_117_300_390_383_273_271_373,11,8,3,0,0,0
91,206,91_85_312_348_83_77_75_308_235_231_233_244_34_33_30_234_377_229_198_215_206,21,15,3,0,3,0
24,258,24_350_311_79_81_117_299_383_274_265_263_260_259_258,14,12,0,1,0,1
350,259,350_311_79_81_117_299_383_274_265_263_260_259,12,11,0,0,0,1
311,373,311_79_81_117_299_383_273_271_373,9,5,3,0,0,1
311,373,311_79_80_118_124_116_276_273_271_373,10,2,8,0,0,0
117,373,117_299_383_273_271_373,6,2,3,0,0,1
52,251,52_361_0_367_352_246_30_234_377_229_197_195_194_181_313_183_180_418_249_165_174_255_251,23,7,14,0,2,0
52,206,52_361_0_367_352_246_30_234_377_229_198_215_206,13,7,3,0,3,0
311,258,311_79_81_117_299_383_274_265_263_260_259_258,12,10,0,1,0,1
79,258,79_81_117_299_383_274_265_263_260_259_258,11,9,0,1,0,1
73,259,73_21_84_81_117_299_383_274_265_263_260_259,12,8,3,0,0,1
80,373,80_118_124_116_276_273_271_373,8,0,8,0,0,0
248,147,248_411_412_184_178_187_147,7,2,2,3,0,0
194,187,194_181_313_184_178_187,6,1,3,2,0,0
177,221,177_178_188_190_192_182_221,7,3,0,4,0,0
184,221,184_178_188_190_192_182_221,7,2,0,5,0,0
177,221,177_178_188_190_192_182_221,7,3,0,4,0,0
177,393,177_178_188_190_192_181_313_183_180_418_249_165_175_160_168_167_393,17,3,12,2,0,0
177,202,177_178_188_190_192_182_222_213_295_202,10,3,4,3,0,0
30,393,30_234_377_229_197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,19,1,18,0,0,0
30,417,30_234_377_229_197_195_194_181_313_183_180_417,12,1,10,0,1,0
30,183,30_234_377_229_197_195_194_181_313_183,10,1,9,0,0,0
269,258,269_114_116_276_274_265_263_260_259_258,10,5,2,1,2,0
246,393,246_30_234_377_229_197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,20,2,18,0,0,0
246,393,246_30_234_377_229_197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,20,2,18,0,0,0
30,393,30_234_377_229_197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,19,1,18,0,0,0
246,393,246_30_234_377_229_197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,20,2,18,0,0,0
246,393,246_30_234_377_229_197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,20,2,18,0,0,0
352,393,352_246_30_234_377_229_197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,21,3,18,0,0,0
234,393,234_377_229_197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,18,0,18,0,0,0
234,393,234_377_229_197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,18,0,18,0,0,0
210,376,210_201_233_244_34_33_30_234_376,9,7,1,0,1,0
361,184,361_0_367_352_246_30_234_377_229_197_195_194_181_313_184,15,6,8,1,0,0
367,393,367_352_246_30_234_377_229_197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,22,4,18,0,0,0
116,266,116_276_274_265_263_261_266,7,3,2,0,2,0
21,393,21_85_312_348_83_77_75_308_234_377_229_197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,26,7,19,0,0,0
318,258,318_131_134_52_361_0_366_363_359_381_379_43_46_356_20_23_73_21_84_80_118_124_116_276_274_265_263_260_259_258,30,16,11,1,2,0
85,180,85_312_348_83_77_75_308_234_377_229_197_195_194_181_313_183_180,17,7,10,0,0,0
34,393,34_33_30_234_377_229_197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,21,3,18,0,0,0
234,185,234_377_229_197_195_194_181_314_185,9,0,8,0,1,0
234,393,234_377_229_197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,18,0,18,0,0,0
308,393,308_234_377_229_197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,19,1,18,0,0,0
75,256,75_308_234_377_229_197_195_194_181_313_183_180_418_249_164_256,16,2,12,2,0,0
15,417,15_34_33_30_234_377_229_197_195_194_181_313_183_180_417,15,3,10,0,2,0
15,393,15_34_33_30_234_377_229_197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,22,3,18,0,1,0
367,393,367_352_246_30_234_377_229_197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,22,4,18,0,0,0
46,348,46_356_19_24_349_348,6,5,0,0,0,1
180,393,180_418_249_165_175_160_168_167_393,9,0,9,0,0,0
379,323,379_43_46_356_20_23_73_22_329_89_279_323,12,4,7,0,1,0
52,19,52_361_0_366_363_359_381_379_43_46_356_19,12,12,0,0,0,0
338,394,338_359_381_380_37_39_74_394,8,2,0,0,5,1
47,394,47_45_42_37_39_74_394,7,0,1,2,4,0
177,200,177_178_188_189_210_200,6,5,0,0,1,0
177,200,177_178_188_189_210_200,6,5,0,0,1,0
367,365,367_352_246_30_235_230_33_31_358_40_49_365,12,9,2,0,1,0
75,51,75_307_357_35_339_362_354_51,8,8,0,0,0,0
31,51,31_358_40_49_365_47_44_51,8,4,4,0,0,0
246,13,246_31_357_36_247_13,6,3,0,3,0,0
183,393,183_180_418_249_165_175_160_168_167_393,10,0,10,0,0,0
49,8,49_365_48_41_378_382_353_1_127_409_71_26_342_8,14,5,9,0,0,0
317,8,317_315_303_272_306_387_398_386_91_85_312_348_83_78_49_365_48_41_378_382_353_1_127_409_71_26_342_8,28,18,10,0,0,0
317,78,317_315_303_272_306_387_398_386_91_85_312_348_83_78,14,13,1,0,0,0
93,247,93_78_49_365_48_42_38_36_247,9,1,3,5,0,0
91,8,91_85_312_348_83_78_49_365_48_41_378_382_353_1_127_409_71_26_342_8,20,10,10,0,0,0
194,393,194_181_313_183_180_418_249_165_175_160_168_167_393,13,0,13,0,0,0
40,8,40_49_365_48_41_378_382_353_1_127_409_71_26_342_8,15,6,9,0,0,0
195,393,195_194_181_313_183_180_418_249_165_175_160_168_167_393,14,0,14,0,0,0
195,393,195_194_181_313_183_180_418_249_165_175_160_168_167_393,14,0,14,0,0,0
40,51,40_49_365_47_44_51,6,2,4,0,0,0
195,393,195_194_181_313_183_180_418_249_165_175_160_168_167_393,14,0,14,0,0,0
177,155,177_178_187_147_149_225_152_153_155,9,8,0,1,0,0
313,393,313_183_180_418_249_165_175_160_168_167_393,11,0,11,0,0,0
195,393,195_194_181_313_183_180_418_249_165_175_160_168_167_393,14,0,14,0,0,0
377,393,377_229_197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,17,0,17,0,0,0
197,393,197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,15,0,15,0,0,0
96,180,96_337_229_197_195_194_181_313_183_180,10,0,8,0,2,0
377,393,377_229_197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,17,0,17,0,0,0
146,393,146_147_149_225_152_153_154_156_165_175_160_168_167_393,14,6,6,2,0,0
